"Seqs"	"Plate"	"Pos"	"Plate.1"	"Colunm"	"Row"	"PlatePos"	"ID"	"Compartment"	"Specie2"	"Subsample"	"Specie"	"Cluster"
42477	"P1"	"bc10"	1	2	"B"	"B2"	"R156"	"Root"	"Lemna_Minor_7123"	2	"LM7123"	"2"
30127	"P1"	"bc11"	1	2	"C"	"C2"	"L153"	"Front"	"Lemna_Japonica_9250"	3	"LJ9250"	"2"
10818	"P1"	"bc12"	1	2	"D"	"D2"	"R200"	"Root"	"Pistia_Stratiotes"	5	"PS"	"PS"
24005	"P1"	"bc13"	1	2	"E"	"E2"	"R192"	"Root"	"Lemna_Tenera_9243"	2	"LT9243"	"3"
53931	"P1"	"bc14"	1	2	"F"	"F2"	"R143"	"Root"	"Londoltia_Punctata_0049"	3	"LP0049"	"2"
24681	"P1"	"bc15"	1	2	"G"	"G2"	"R148"	"Root"	"Lemna_Turionifera_9109"	3	"LT9109"	"2"
32291	"P1"	"bc16"	1	2	"H"	"H2"	"R126"	"Root"	"Spirodela_polyrhiza_7498"	1	"SP7498"	"1"
64419	"P1"	"bc17"	1	3	"A"	"A3"	"L123"	"Front"	"Spirodela_polyrhiza_5543"	3	"SP5543"	"1"
32459	"P1"	"bc18"	1	3	"B"	"B3"	"R138"	"Root"	"Londoltia_Punctata_7760"	3	"LP7760"	"2"
17456	"P1"	"bc19"	1	3	"C"	"C3"	"L155"	"Front"	"Lemna_Japonica_9250"	5	"LJ9250"	"2"
4499	"P1"	"bc1"	1	1	"A"	"A1"	"R65"	"Root"	"Lemna_Minor_8389"	1	"LM8389"	"2"
5180	"P1"	"bc20"	1	3	"D"	"D3"	"L167"	"Front"	"Lemna_Valdiviana_7650"	2	"LV7650"	"2"
21087	"P1"	"bc21"	1	3	"E"	"E3"	"L158"	"Front"	"Lemna_Minor_7123"	3	"LM7123"	"2"
23334	"P1"	"bc22"	1	3	"F"	"F3"	"R158"	"Root"	"Lemna_Minor_7123"	3	"LM7123"	"2"
17198	"P1"	"bc23"	1	3	"G"	"G3"	"L152"	"Front"	"Lemna_Japonica_9250"	2	"LJ9250"	"2"
1535	"P1"	"bc24"	1	3	"H"	"H3"	"W135"	"Water"	"Spirodela_polyrhiza_9192"	4	"SP9192"	"1"
27638	"P1"	"bc25"	1	4	"A"	"A4"	"R123"	"Root"	"Spirodela_polyrhiza_5543"	3	"SP5543"	"1"
9243	"P1"	"bc26"	1	4	"B"	"B4"	"W114"	"Water"	"Spirodela_Intermedia_9227"	3	"SI9227"	"1"
29912	"P1"	"bc27"	1	4	"C"	"C4"	"R122"	"Root"	"Spirodela_polyrhiza_5543"	2	"SP5543"	"1"
32363	"P1"	"bc28"	1	4	"D"	"D4"	"W127"	"Water"	"Spirodela_polyrhiza_7498"	2	"SP7498"	"1"
18484	"P1"	"bc29"	1	4	"E"	"E4"	"R149"	"Root"	"Lemna_Turionifera_9109"	4	"LT9109"	"2"
78984	"P1"	"bc2"	1	1	"B"	"B1"	"L133"	"Front"	"Spirodela_polyrhiza_9192"	3	"SP9192"	"1"
19899	"P1"	"bc30"	1	4	"F"	"F4"	"R175"	"Root"	"Lemna_Valdiviana_7650"	5	"LV7650"	"2"
35678	"P1"	"bc31"	1	4	"G"	"G4"	"W109"	"Water"	"Spirodela_Intermedia_7820"	4	"SI7820"	"1"
37866	"P1"	"bc32"	1	4	"H"	"H4"	"W145"	"Water"	"Londoltia_Punctata_0049"	5	"LP0049"	"2"
66995	"P1"	"bc33"	1	5	"A"	"A5"	"L145"	"Front"	"Londoltia_Punctata_0049"	4	"LP0049"	"2"
25809	"P1"	"bc34"	1	5	"B"	"B5"	"L185"	"Front"	"Lemna_Aequinoctialis_7339"	4	"LA7339"	"3"
23666	"P1"	"bc35"	1	5	"C"	"C5"	"R173"	"Root"	"Lemna_Valdiviana_7650"	3	"LV7650"	"2"
20324	"P1"	"bc36"	1	5	"D"	"D5"	"W199"	"Water"	"Pistia_Stratiotes"	4	"PS"	"PS"
21807	"P1"	"bc37"	1	5	"E"	"E5"	"R145"	"Root"	"Londoltia_Punctata_0049"	5	"LP0049"	"2"
3778	"P1"	"bc38"	1	5	"F"	"F5"	"L181"	"Front"	"Lemna_Aequinoctialis_7339"	1	"LA7339"	"3"
43985	"P1"	"bc39"	1	5	"G"	"G5"	"W140"	"Water"	"Londoltia_Punctata_7760"	5	"LP7760"	"2"
31428	"P1"	"bc40"	1	5	"H"	"H5"	"R166"	"Root"	"Lemna_Yungensis_5280"	1	"LY5280"	"3"
31400	"P1"	"bc41"	1	6	"A"	"A6"	"L106"	"Front"	"Spirodela_Intermedia_7820"	1	"SI7820"	"1"
25324	"P1"	"bc42"	1	6	"B"	"B6"	"W105"	"Water"	"Control"	5	"Control"	"Control"
20119	"P1"	"bc43"	1	6	"C"	"C6"	"L124"	"Front"	"Spirodela_polyrhiza_5543"	4	"SP5543"	"1"
8314	"P1"	"bc44"	1	6	"D"	"D6"	"Inom1"	"Inoculum"	"Inoculum"	1	"Inoculum"	"Inoculum"
14499	"P1"	"bc45"	1	6	"E"	"E6"	"R165"	"Root"	"Lemna_Minor_8389"	4	"LM8389"	"2"
15764	"P1"	"bc46"	1	6	"F"	"F6"	"W198"	"Water"	"Pistia_Stratiotes"	3	"PS"	"PS"
25902	"P1"	"bc47"	1	6	"G"	"G6"	"W188"	"Water"	"Lemna_Perpusilla_8539"	3	"LP8539"	"3"
369	"P1"	"bc48"	1	6	"H"	"H6"	"R177"	"Root"	"Lemna_Minuta_7200"	2	"LM7200"	"3"
6380	"P1"	"bc49"	1	7	"A"	"A7"	"W187"	"Water"	"Lemna_Perpusilla_8539"	1	"LP8539"	"3"
38311	"P1"	"bc4"	1	1	"D"	"D1"	"R120"	"Root"	"Spirodela_polyrhiza_9509"	5	"SP9509"	"1"
23621	"P1"	"bc50"	1	7	"B"	"B7"	"W112"	"Water"	"Spirodela_Intermedia_9227"	1	"SI9227"	"1"
28208	"P1"	"bc51"	1	7	"C"	"C7"	"L118"	"Front"	"Spirodela_polyrhiza_9509"	3	"SP9509"	"1"
15583	"P1"	"bc52"	1	7	"D"	"D7"	"W160"	"Water"	"Lemna_Minor_7123"	4	"LM7123"	"2"
46918	"P1"	"bc53"	1	7	"E"	"E7"	"R115"	"Root"	"Spirodela_Intermedia_9227"	5	"SI9227"	"1"
24638	"P1"	"bc54"	1	7	"F"	"F7"	"R180"	"Root"	"Lemna_Minuta_7200"	4	"LM7200"	"3"
49228	"P1"	"bc55"	1	7	"G"	"G7"	"R116"	"Root"	"Spirodela_polyrhiza_9509"	1	"SP9509"	"1"
14346	"P1"	"bc56"	1	7	"H"	"H7"	"W156"	"Water"	"Lemna_Minor_7123"	1	"LM7123"	"2"
340	"P1"	"bc57"	1	8	"A"	"A8"	"W157"	"Water"	"Lemna_Minor_7123"	2	"LM7123"	"2"
269	"P1"	"bc58"	1	8	"B"	"B8"	"L141"	"Front"	"Londoltia_Punctata_0049"	1	"LP0049"	"2"
44	"P1"	"bc59"	1	8	"C"	"C8"	"W178"	"Water"	"Lemna_Minuta_7200"	2	"LM7200"	"3"
46370	"P1"	"bc5"	1	1	"E"	"E1"	"W171"	"Water"	"Lemna_Valdiviana_7650"	5	"LV7650"	"2"
300	"P1"	"bc60"	1	8	"D"	"D8"	"W154"	"Water"	"Lemna_Japonica_9250"	4	"LJ9250"	"2"
109	"P1"	"bc61"	1	8	"E"	"E8"	"W107"	"Water"	"Spirodela_Intermedia_7820"	2	"SI7820"	"1"
317	"P1"	"bc62"	1	8	"F"	"F8"	"W125"	"Water"	"Spirodela_polyrhiza_5543"	4	"SP5543"	"1"
28170	"P1"	"bc64"	1	8	"H"	"H8"	"L199"	"Front"	"Pistia_Stratiotes"	4	"PS"	"PS"
507	"P1"	"bc65"	1	9	"A"	"A9"	"L170"	"Front"	"Lemna_Valdiviana_7650"	5	"LV7650"	"2"
777	"P1"	"bc66"	1	9	"B"	"B9"	"W149"	"Water"	"Lemna_Turionifera_9109"	5	"LT9109"	"2"
44	"P1"	"bc67"	1	9	"C"	"C9"	"R169"	"Root"	"Lemna_Yungensis_5280"	4	"LY5280"	"3"
508	"P1"	"bc68"	1	9	"D"	"D9"	"L162"	"Front"	"Lemna_Minor_8389"	2	"LM8389"	"2"
740	"P1"	"bc69"	1	9	"E"	"E9"	"W168"	"Water"	"Lemna_Valdiviana_7650"	2	"LV7650"	"2"
7408	"P1"	"bc6"	1	1	"F"	"F1"	"R197"	"Root"	"Pistia_Stratiotes"	2	"PS"	"PS"
3035	"P1"	"bc71"	1	9	"G"	"G9"	"R131"	"Root"	"Spirodela_polyrhiza_9192"	1	"SP9192"	"1"
1375	"P1"	"bc72"	1	9	"H"	"H9"	"W123"	"Water"	"Spirodela_polyrhiza_5543"	2	"SP5543"	"1"
35615	"P1"	"bc73"	1	10	"A"	"A10"	"L130"	"Front"	"Spirodela_polyrhiza_7498"	5	"SP7498"	"1"
17682	"P1"	"bc74"	1	10	"B"	"B10"	"W197"	"Water"	"Pistia_Stratiotes"	2	"PS"	"PS"
33780	"P1"	"bc75"	1	10	"C"	"C10"	"L175"	"Front"	"Lemna_Yungensis_5280"	5	"LY5280"	"3"
25751	"P1"	"bc76"	1	10	"D"	"D10"	"W155"	"Water"	"Lemna_Japonica_9250"	6	"LJ9250"	"2"
19975	"P1"	"bc77"	1	10	"E"	"E10"	"R187"	"Root"	"Lemna_Perpusilla_8539"	2	"LP8539"	"3"
20726	"P1"	"bc78"	1	10	"F"	"F10"	"W143"	"Water"	"Londoltia_Punctata_0049"	3	"LP0049"	"2"
20351	"P1"	"bc79"	1	10	"G"	"G10"	"R178"	"Root"	"Lemna_Minuta_7200"	3	"LM7200"	"3"
53081	"P1"	"bc7"	1	1	"G"	"G1"	"L129"	"Front"	"Spirodela_polyrhiza_7498"	4	"SP7498"	"1"
25890	"P1"	"bc80"	1	10	"H"	"H10"	"R159"	"Root"	"Lemna_Minor_7123"	4	"LM7123"	"2"
32185	"P1"	"bc81"	1	11	"A"	"A11"	"R136"	"Root"	"Londoltia_Punctata_7760"	1	"LP7760"	"2"
10797	"P1"	"bc82"	1	11	"B"	"B11"	"W144"	"Water"	"Londoltia_Punctata_0049"	4	"LP0049"	"2"
20846	"P1"	"bc83"	1	11	"C"	"C11"	"W176"	"Water"	"Lemna_Yungensis_5280"	4	"LY5280"	"3"
18983	"P1"	"bc84"	1	11	"D"	"D11"	"L197"	"Front"	"Pistia_Stratiotes"	2	"PS"	"PS"
24249	"P1"	"bc85"	1	11	"E"	"E11"	"R127"	"Root"	"Spirodela_polyrhiza_7498"	2	"SP7498"	"1"
24988	"P1"	"bc86"	1	11	"F"	"F11"	"W195"	"Water"	"Lemna_Tenera_9243"	4	"LT9243"	"3"
14790	"P1"	"bc87"	1	11	"G"	"G11"	"R199"	"Root"	"Pistia_Stratiotes"	4	"PS"	"PS"
